Year-Month,Keyword,Frequency,FEDFUNDS
2007-03,interest,7,5.25
2007-03,inflation,0,5.25
2007-03,unemployment,1,5.25
2007-03,credit,19,5.25
2007-03,market,45,5.25
2007-03,trade,2,5.25
2007-04,interest,0,5.25
2007-04,inflation,2,5.25
2007-04,unemployment,0,5.25
2007-04,credit,17,5.25
2007-04,market,26,5.25
2007-04,trade,2,5.25
2007-06,interest,4,5.26
2007-06,inflation,5,5.26
2007-06,unemployment,3,5.26
2007-06,credit,16,5.26
2007-06,market,53,5.26
2007-06,trade,2,5.26
2007-07,interest,4,5.02
2007-07,inflation,2,5.02
2007-07,unemployment,1,5.02
2007-07,credit,16,5.02
2007-07,market,37,5.02
2007-07,trade,2,5.02
2007-09,interest,5,4.76
2007-09,inflation,1,4.76
2007-09,unemployment,0,4.76
2007-09,credit,48,4.76
2007-09,market,48,4.76
2007-09,trade,1,4.76
2007-10,interest,1,4.49
2007-10,inflation,3,4.49
2007-10,unemployment,3,4.49
2007-10,credit,34,4.49
2007-10,market,34,4.49
2007-10,trade,3,4.49
2007-11,interest,0,4.24
2007-11,inflation,0,4.24
2007-11,unemployment,0,4.24
2007-11,credit,3,4.24
2007-11,market,1,4.24
2007-11,trade,1,4.24
2008-01,interest,2,2.98
2008-01,inflation,2,2.98
2008-01,unemployment,0,2.98
2008-01,credit,35,2.98
2008-01,market,32,2.98
2008-01,trade,4,2.98
2008-03,interest,5,2.28
2008-03,inflation,1,2.28
2008-03,unemployment,1,2.28
2008-03,credit,48,2.28
2008-03,market,30,2.28
2008-03,trade,1,2.28
2008-04,interest,8,1.98
2008-04,inflation,1,1.98
2008-04,unemployment,1,1.98
2008-04,credit,32,1.98
2008-04,market,24,1.98
2008-04,trade,1,1.98
2008-06,interest,3,2.01
2008-06,inflation,1,2.01
2008-06,unemployment,1,2.01
2008-06,credit,36,2.01
2008-06,market,24,2.01
2008-06,trade,2,2.01
2008-07,interest,5,2.0
2008-07,inflation,2,2.0
2008-07,unemployment,0,2.0
2008-07,credit,32,2.0
2008-07,market,38,2.0
2008-07,trade,3,2.0
2008-09,interest,5,0.97
2008-09,inflation,2,0.97
2008-09,unemployment,2,0.97
2008-09,credit,39,0.97
2008-09,market,39,0.97
2008-09,trade,1,0.97
2008-10,interest,6,0.39
2008-10,inflation,0,0.39
2008-10,unemployment,2,0.39
2008-10,credit,73,0.39
2008-10,market,35,0.39
2008-10,trade,3,0.39
2008-12,interest,4,0.15
2008-12,inflation,0,0.15
2008-12,unemployment,3,0.15
2008-12,credit,69,0.15
2008-12,market,32,0.15
2008-12,trade,2,0.15
2009-01,interest,13,0.22
2009-01,inflation,0,0.22
2009-01,unemployment,1,0.22
2009-01,credit,48,0.22
2009-01,market,31,0.22
2009-01,trade,4,0.22
2009-03,interest,5,0.15
2009-03,inflation,0,0.15
2009-03,unemployment,2,0.15
2009-03,credit,46,0.15
2009-03,market,35,0.15
2009-03,trade,1,0.15
2009-04,interest,8,0.18
2009-04,inflation,0,0.18
2009-04,unemployment,5,0.18
2009-04,credit,56,0.18
2009-04,market,33,0.18
2009-04,trade,3,0.18
2009-06,interest,11,0.16
2009-06,inflation,0,0.16
2009-06,unemployment,2,0.16
2009-06,credit,44,0.16
2009-06,market,35,0.16
2009-06,trade,4,0.16
2009-07,interest,3,0.16
2009-07,inflation,0,0.16
2009-07,unemployment,5,0.16
2009-07,credit,43,0.16
2009-07,market,29,0.16
2009-07,trade,5,0.16
2009-09,interest,4,0.12
2009-09,inflation,0,0.12
2009-09,unemployment,2,0.12
2009-09,credit,49,0.12
2009-09,market,25,0.12
2009-09,trade,2,0.12
2009-10,interest,7,0.12
2009-10,inflation,2,0.12
2009-10,unemployment,5,0.12
2009-10,credit,50,0.12
2009-10,market,21,0.12
2009-10,trade,1,0.12
2009-12,interest,4,0.11
2009-12,inflation,0,0.11
2009-12,unemployment,6,0.11
2009-12,credit,49,0.11
2009-12,market,26,0.11
2009-12,trade,4,0.11
2010-01,interest,6,0.13
2010-01,inflation,0,0.13
2010-01,unemployment,3,0.13
2010-01,credit,47,0.13
2010-01,market,21,0.13
2010-01,trade,1,0.13
2010-03,interest,5,0.2
2010-03,inflation,0,0.2
2010-03,unemployment,4,0.2
2010-03,credit,46,0.2
2010-03,market,18,0.2
2010-03,trade,1,0.2
2010-04,interest,4,0.2
2010-04,inflation,0,0.2
2010-04,unemployment,2,0.2
2010-04,credit,52,0.2
2010-04,market,21,0.2
2010-04,trade,4,0.2
2010-06,interest,5,0.18
2010-06,inflation,0,0.18
2010-06,unemployment,3,0.18
2010-06,credit,43,0.18
2010-06,market,23,0.18
2010-06,trade,3,0.18
2010-07,interest,4,0.19
2010-07,inflation,0,0.19
2010-07,unemployment,3,0.19
2010-07,credit,36,0.19
2010-07,market,29,0.19
2010-07,trade,3,0.19
2010-09,interest,5,0.19
2010-09,inflation,0,0.19
2010-09,unemployment,4,0.19
2010-09,credit,48,0.19
2010-09,market,25,0.19
2010-09,trade,4,0.19
2010-10,interest,4,0.19
2010-10,inflation,0,0.19
2010-10,unemployment,3,0.19
2010-10,credit,30,0.19
2010-10,market,19,0.19
2010-10,trade,4,0.19
2010-12,interest,4,0.17
2010-12,inflation,1,0.17
2010-12,unemployment,3,0.17
2010-12,credit,38,0.17
2010-12,market,26,0.17
2010-12,trade,5,0.17
2011-01,interest,11,0.16
2011-01,inflation,0,0.16
2011-01,unemployment,0,0.16
2011-01,credit,29,0.16
2011-01,market,28,0.16
2011-01,trade,1,0.16
2011-03,interest,10,0.1
2011-03,inflation,0,0.1
2011-03,unemployment,3,0.1
2011-03,credit,39,0.1
2011-03,market,30,0.1
2011-03,trade,2,0.1
2011-04,interest,6,0.09
2011-04,inflation,2,0.09
2011-04,unemployment,3,0.09
2011-04,credit,28,0.09
2011-04,market,33,0.09
2011-04,trade,2,0.09
2011-06,interest,5,0.07
2011-06,inflation,1,0.07
2011-06,unemployment,1,0.07
2011-06,credit,40,0.07
2011-06,market,34,0.07
2011-06,trade,4,0.07
2011-07,interest,4,0.1
2011-07,inflation,0,0.1
2011-07,unemployment,4,0.1
2011-07,credit,30,0.1
2011-07,market,28,0.1
2011-07,trade,2,0.1
2011-09,interest,4,0.07
2011-09,inflation,0,0.07
2011-09,unemployment,3,0.07
2011-09,credit,32,0.07
2011-09,market,36,0.07
2011-09,trade,2,0.07
2011-10,interest,10,0.08
2011-10,inflation,1,0.08
2011-10,unemployment,2,0.08
2011-10,credit,20,0.08
2011-10,market,28,0.08
2011-10,trade,3,0.08
2011-11,interest,9,0.07
2011-11,inflation,1,0.07
2011-11,unemployment,4,0.07
2011-11,credit,25,0.07
2011-11,market,23,0.07
2011-11,trade,2,0.07
2012-01,interest,6,0.1
2012-01,inflation,4,0.1
2012-01,unemployment,3,0.1
2012-01,credit,25,0.1
2012-01,market,34,0.1
2012-01,trade,2,0.1
2012-02,interest,12,0.13
2012-02,inflation,1,0.13
2012-02,unemployment,3,0.13
2012-02,credit,28,0.13
2012-02,market,35,0.13
2012-02,trade,2,0.13
2012-04,interest,8,0.16
2012-04,inflation,4,0.16
2012-04,unemployment,1,0.16
2012-04,credit,29,0.16
2012-04,market,23,0.16
2012-04,trade,3,0.16
2012-06,interest,5,0.16
2012-06,inflation,4,0.16
2012-06,unemployment,1,0.16
2012-06,credit,27,0.16
2012-06,market,30,0.16
2012-06,trade,2,0.16
2012-07,interest,11,0.13
2012-07,inflation,3,0.13
2012-07,unemployment,2,0.13
2012-07,credit,21,0.13
2012-07,market,22,0.13
2012-07,trade,2,0.13
2012-08,interest,10,0.14
2012-08,inflation,4,0.14
2012-08,unemployment,0,0.14
2012-08,credit,28,0.14
2012-08,market,30,0.14
2012-08,trade,1,0.14
2012-10,interest,6,0.16
2012-10,inflation,4,0.16
2012-10,unemployment,2,0.16
2012-10,credit,21,0.16
2012-10,market,30,0.16
2012-10,trade,2,0.16
2012-11,interest,7,0.16
2012-11,inflation,2,0.16
2012-11,unemployment,2,0.16
2012-11,credit,34,0.16
2012-11,market,27,0.16
2012-11,trade,2,0.16
2013-01,interest,6,0.15
2013-01,inflation,2,0.15
2013-01,unemployment,1,0.15
2013-01,credit,27,0.15
2013-01,market,29,0.15
2013-01,trade,4,0.15
2013-03,interest,20,0.15
2013-03,inflation,4,0.15
2013-03,unemployment,1,0.15
2013-03,credit,25,0.15
2013-03,market,36,0.15
2013-03,trade,1,0.15
2013-04,interest,9,0.11
2013-04,inflation,1,0.11
2013-04,unemployment,2,0.11
2013-04,credit,20,0.11
2013-04,market,29,0.11
2013-04,trade,6,0.11
2013-06,interest,9,0.09
2013-06,inflation,4,0.09
2013-06,unemployment,0,0.09
2013-06,credit,26,0.09
2013-06,market,35,0.09
2013-06,trade,2,0.09
2013-07,interest,12,0.08
2013-07,inflation,4,0.08
2013-07,unemployment,2,0.08
