Year-Month-Day,Type,Keyword,Frequency
2010-12-31,Citi Annual Reports,interest,575
2010-12-31,Citi Annual Reports,inflation,5
2010-12-31,Citi Annual Reports,unemployment,6
2010-12-31,Citi Annual Reports,credit,827
2010-12-31,Citi Annual Reports,market,279
2010-12-31,Citi Annual Reports,trade,33
2010-12-31,Citi Annual Reports,energy,3
2010-12-31,JP Morgan Annual Reports,interest,510
2010-12-31,JP Morgan Annual Reports,inflation,1
2010-12-31,JP Morgan Annual Reports,unemployment,17
2010-12-31,JP Morgan Annual Reports,credit,1373
2010-12-31,JP Morgan Annual Reports,market,396
2010-12-31,JP Morgan Annual Reports,trade,26
2010-12-31,JP Morgan Annual Reports,energy,7
2014-12-31,Citi Annual Reports,interest,561
2014-12-31,Citi Annual Reports,inflation,9
2014-12-31,Citi Annual Reports,unemployment,3
2014-12-31,Citi Annual Reports,credit,863
2014-12-31,Citi Annual Reports,market,278
2014-12-31,Citi Annual Reports,trade,37
2014-12-31,Citi Annual Reports,energy,12
2014-12-31,JP Morgan Annual Reports,interest,537
2014-12-31,JP Morgan Annual Reports,inflation,0
2014-12-31,JP Morgan Annual Reports,unemployment,8
2014-12-31,JP Morgan Annual Reports,credit,1109
2014-12-31,JP Morgan Annual Reports,market,409
2014-12-31,JP Morgan Annual Reports,trade,20
2014-12-31,JP Morgan Annual Reports,energy,9
2017-12-31,Citi Annual Reports,interest,536
2017-12-31,Citi Annual Reports,inflation,8
2017-12-31,Citi Annual Reports,unemployment,3
2017-12-31,Citi Annual Reports,credit,863
2017-12-31,Citi Annual Reports,market,278
2017-12-31,Citi Annual Reports,trade,43
2017-12-31,Citi Annual Reports,energy,18
2017-12-31,JP Morgan Annual Reports,interest,541
2017-12-31,JP Morgan Annual Reports,inflation,8
2017-12-31,JP Morgan Annual Reports,unemployment,5
2017-12-31,JP Morgan Annual Reports,credit,1045
2017-12-31,JP Morgan Annual Reports,market,355
2017-12-31,JP Morgan Annual Reports,trade,22
2017-12-31,JP Morgan Annual Reports,energy,16
2021-12-31,Citi Annual Reports,interest,567
2021-12-31,Citi Annual Reports,inflation,7
2021-12-31,Citi Annual Reports,unemployment,20
2021-12-31,Citi Annual Reports,credit,1055
2021-12-31,Citi Annual Reports,market,273
2021-12-31,Citi Annual Reports,trade,42
2021-12-31,Citi Annual Reports,energy,12
2021-12-31,JP Morgan Annual Reports,interest,12
2021-12-31,JP Morgan Annual Reports,inflation,6
2021-12-31,JP Morgan Annual Reports,unemployment,1
2021-12-31,JP Morgan Annual Reports,credit,54
2021-12-31,JP Morgan Annual Reports,market,70
2021-12-31,JP Morgan Annual Reports,trade,21
2021-12-31,JP Morgan Annual Reports,energy,32
2022-12-31,Citi Annual Reports,interest,613
2022-12-31,Citi Annual Reports,inflation,7
2022-12-31,Citi Annual Reports,unemployment,17
2022-12-31,Citi Annual Reports,credit,1107
2022-12-31,Citi Annual Reports,market,290
2022-12-31,Citi Annual Reports,trade,26
2022-12-31,Citi Annual Reports,energy,20
2022-12-31,JP Morgan Annual Reports,interest,539
2022-12-31,JP Morgan Annual Reports,inflation,13
2022-12-31,JP Morgan Annual Reports,unemployment,17
2022-12-31,JP Morgan Annual Reports,credit,1074
2022-12-31,JP Morgan Annual Reports,market,394
2022-12-31,JP Morgan Annual Reports,trade,24
2022-12-31,JP Morgan Annual Reports,energy,30
2009-12-31,Citi Annual Reports,interest,532
2009-12-31,Citi Annual Reports,inflation,5
2009-12-31,Citi Annual Reports,unemployment,14
2009-12-31,Citi Annual Reports,credit,870
2009-12-31,Citi Annual Reports,market,315
2009-12-31,Citi Annual Reports,trade,20
2009-12-31,Citi Annual Reports,energy,2
2009-12-31,JP Morgan Annual Reports,interest,459
2009-12-31,JP Morgan Annual Reports,inflation,0
2009-12-31,JP Morgan Annual Reports,unemployment,14
2009-12-31,JP Morgan Annual Reports,credit,1210
2009-12-31,JP Morgan Annual Reports,market,392
2009-12-31,JP Morgan Annual Reports,trade,23
